пара,день_X,название,признак,порог,лид_тайм_дней,цензурировано,потолок_дней
ARM-AZE,2022-09-12,Столкновения сентября 2022,vol_ratio,2.5,,False,26
BTN-CHN,2017-06-16,Доклам,z_tone,1.0,23.0,True,23
BTN-CHN,2017-06-16,Доклам,z_tone,2.0,16.0,False,23
BTN-CHN,2017-06-16,Доклам,z_vol,1.0,16.0,False,23
BTN-CHN,2017-06-16,Доклам,z_vol,2.0,14.0,False,23
BTN-CHN,2017-06-16,Доклам,vol_ratio,1.5,16.0,False,23
BTN-CHN,2017-06-16,Доклам,vol_ratio,2.5,16.0,False,23
CHN-IND,2014-09-16,Чумар,z_tone,1.0,26.0,True,26
CHN-IND,2014-09-16,Чумар,z_tone,2.0,22.0,False,26
CHN-IND,2014-09-16,Чумар,z_vol,1.0,22.0,False,26
CHN-IND,2014-09-16,Чумар,z_vol,2.0,15.0,False,26
CHN-IND,2014-09-16,Чумар,vol_ratio,1.5,16.0,False,26
CHN-IND,2014-09-16,Чумар,vol_ratio,2.5,12.0,False,26
CHN-IND,2017-06-16,Доклам,z_tone,1.0,22.0,False,26
CHN-IND,2017-06-16,Доклам,z_tone,2.0,21.0,False,26
CHN-IND,2017-06-16,Доклам,z_vol,1.0,8.0,False,26
CHN-IND,2017-06-16,Доклам,z_vol,2.0,7.0,False,26
CHN-IND,2017-06-16,Доклам,vol_ratio,1.5,7.0,False,26
CHN-IND,2017-06-16,Доклам,vol_ratio,2.5,,False,26
CHN-IND,2020-06-15,Долина Галван,z_tone,1.0,,False,26
CHN-IND,2020-06-15,Долина Галван,z_tone,2.0,,False,26
CHN-IND,2020-06-15,Долина Галван,z_vol,1.0,22.0,False,26
CHN-IND,2020-06-15,Долина Галван,z_vol,2.0,22.0,False,26
CHN-IND,2020-06-15,Долина Галван,vol_ratio,1.5,24.0,False,26
CHN-IND,2020-06-15,Долина Галван,vol_ratio,2.5,,False,26
CHN-IND,2022-12-09,Янцзы (Таванг),z_tone,1.0,11.0,False,24
CHN-IND,2022-12-09,Янцзы (Таванг),z_tone,2.0,5.0,False,24
CHN-IND,2022-12-09,Янцзы (Таванг),z_vol,1.0,7.0,False,24
CHN-IND,2022-12-09,Янцзы (Таванг),z_vol,2.0,3.0,False,24
CHN-IND,2022-12-09,Янцзы (Таванг),vol_ratio,1.5,7.0,False,24
CHN-IND,2022-12-09,Янцзы (Таванг),vol_ratio,2.5,,False,24
CHN-VNM,2014-05-01,Платформа HYSY-981,z_tone,1.0,9.0,False,26
CHN-VNM,2014-05-01,Платформа HYSY-981,z_tone,2.0,,False,26
CHN-VNM,2014-05-01,Платформа HYSY-981,z_vol,1.0,13.0,False,26
CHN-VNM,2014-05-01,Платформа HYSY-981,z_vol,2.0,12.0,False,26
CHN-VNM,2014-05-01,Платформа HYSY-981,vol_ratio,1.5,12.0,False,26
CHN-VNM,2014-05-01,Платформа HYSY-981,vol_ratio,2.5,,False,26
COD-RWA,2025-01-23,Наступление на Гому,z_tone,1.0,21.0,False,25
COD-RWA,2025-01-23,Наступление на Гому,z_tone,2.0,18.0,False,25
COD-RWA,2025-01-23,Наступление на Гому,z_vol,1.0,,False,25
COD-RWA,2025-01-23,Наступление на Гому,z_vol,2.0,,False,25
COD-RWA,2025-01-23,Наступление на Гому,vol_ratio,1.5,,False,25
COD-RWA,2025-01-23,Наступление на Гому,vol_ratio,2.5,,False,25
ETH-SDN,2020-12-15,Аль-Фашага,z_tone,1.0,26.0,True,26
ETH-SDN,2020-12-15,Аль-Фашага,z_tone,2.0,26.0,True,26
ETH-SDN,2020-12-15,Аль-Фашага,z_vol,1.0,26.0,True,26
ETH-SDN,2020-12-15,Аль-Фашага,z_vol,2.0,25.0,False,26
ETH-SDN,2020-12-15,Аль-Фашага,vol_ratio,1.5,26.0,True,26
ETH-SDN,2020-12-15,Аль-Фашага,vol_ratio,2.5,25.0,False,26
FRA-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_tone,1.0,,False,26
FRA-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_tone,2.0,,False,26
FRA-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_vol,1.0,15.0,False,26
FRA-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_vol,2.0,15.0,False,26
FRA-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,vol_ratio,1.5,15.0,False,26
FRA-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,vol_ratio,2.5,12.0,False,26
GBR-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_tone,1.0,2.0,False,26
GBR-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_tone,2.0,,False,26
GBR-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_vol,1.0,26.0,True,26
GBR-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,z_vol,2.0,22.0,False,26
GBR-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,vol_ratio,1.5,25.0,False,26
GBR-SYR,2018-04-14,Удары по объектам ОМУ в Сирии,vol_ratio,2.5,4.0,False,26
IND-PAK,2019-02-26,Балакот и ответ Пакистана,z_tone,1.0,11.0,False,26
IND-PAK,2019-02-26,Балакот и ответ Пакистана,z_tone,2.0,11.0,False,26
IND-PAK,2019-02-26,Балакот и ответ Пакистана,z_vol,1.0,26.0,True,26
IND-PAK,2019-02-26,Балакот и ответ Пакистана,z_vol,2.0,25.0,False,26
IND-PAK,2019-02-26,Балакот и ответ Пакистана,vol_ratio,1.5,26.0,True,26
IND-PAK,2019-02-26,Балакот и ответ Пакистана,vol_ratio,2.5,10.0,False,26
IND-PAK,2025-05-07,"Индия — Пакистан, операция «Синдур»",z_tone,1.0,24.0,False,26
IND-PAK,2025-05-07,"Индия — Пакистан, операция «Синдур»",z_tone,2.0,9.0,False,26
IND-PAK,2025-05-07,"Индия — Пакистан, операция «Синдур»",z_vol,1.0,26.0,True,26
IND-PAK,2025-05-07,"Индия — Пакистан, операция «Синдур»",z_vol,2.0,26.0,True,26
IND-PAK,2025-05-07,"Индия — Пакистан, операция «Синдур»",vol_ratio,1.5,26.0,True,26
IND-PAK,2025-05-07,"Индия — Пакистан, операция «Синдур»",vol_ratio,2.5,26.0,True,26
IRN-ISR,2024-04-01,Консульство в Дамаске и ответ Ирана,z_tone,1.0,26.0,True,26
IRN-ISR,2024-04-01,Консульство в Дамаске и ответ Ирана,z_tone,2.0,,False,26
IRN-ISR,2024-04-01,Консульство в Дамаске и ответ Ирана,z_vol,1.0,5.0,False,26
IRN-ISR,2024-04-01,Консульство в Дамаске и ответ Ирана,z_vol,2.0,3.0,False,26
IRN-ISR,2024-04-01,Консульство в Дамаске и ответ Ирана,vol_ratio,1.5,3.0,False,26
IRN-ISR,2024-04-01,Консульство в Дамаске и ответ Ирана,vol_ratio,2.5,,False,26
IRN-ISR,2024-10-01,«Истинное обещание — 2»,z_tone,1.0,10.0,False,26
IRN-ISR,2024-10-01,«Истинное обещание — 2»,z_tone,2.0,9.0,False,26
IRN-ISR,2024-10-01,«Истинное обещание — 2»,z_vol,1.0,12.0,False,26
IRN-ISR,2024-10-01,«Истинное обещание — 2»,z_vol,2.0,9.0,False,26
IRN-ISR,2024-10-01,«Истинное обещание — 2»,vol_ratio,1.5,11.0,False,26
IRN-ISR,2024-10-01,«Истинное обещание — 2»,vol_ratio,2.5,7.0,False,26
IRN-ISR,2025-06-13,Двенадцатидневная война,z_tone,1.0,,False,26
IRN-ISR,2025-06-13,Двенадцатидневная война,z_tone,2.0,,False,26
IRN-ISR,2025-06-13,Двенадцатидневная война,z_vol,1.0,3.0,False,26
IRN-ISR,2025-06-13,Двенадцатидневная война,z_vol,2.0,1.0,False,26
IRN-ISR,2025-06-13,Двенадцатидневная война,vol_ratio,1.5,1.0,False,26
IRN-ISR,2025-06-13,Двенадцатидневная война,vol_ratio,2.5,,False,26
IRN-ISR,2026-02-28,Ирано-израильская война 2026,z_tone,1.0,,False,26
IRN-ISR,2026-02-28,Ирано-израильская война 2026,z_tone,2.0,,False,26
IRN-ISR,2026-02-28,Ирано-израильская война 2026,z_vol,1.0,19.0,False,26
IRN-ISR,2026-02-28,Ирано-израильская война 2026,z_vol,2.0,17.0,False,26
IRN-ISR,2026-02-28,Ирано-израильская война 2026,vol_ratio,1.5,17.0,False,26
IRN-ISR,2026-02-28,Ирано-израильская война 2026,vol_ratio,2.5,,False,26
IRN-PAK,2024-01-16,"Иран — Пакистан, взаимные удары",z_tone,1.0,26.0,True,26
IRN-PAK,2024-01-16,"Иран — Пакистан, взаимные удары",z_tone,2.0,,False,26
IRN-PAK,2024-01-16,"Иран — Пакистан, взаимные удары",z_vol,1.0,26.0,True,26
IRN-PAK,2024-01-16,"Иран — Пакистан, взаимные удары",z_vol,2.0,26.0,True,26
IRN-PAK,2024-01-16,"Иран — Пакистан, взаимные удары",vol_ratio,1.5,26.0,True,26
IRN-PAK,2024-01-16,"Иран — Пакистан, взаимные удары",vol_ratio,2.5,26.0,True,26
IRN-USA,2020-01-03,Сулеймани и удар по Айн-эль-Асад,z_tone,1.0,4.0,False,26
IRN-USA,2020-01-03,Сулеймани и удар по Айн-эль-Асад,z_tone,2.0,3.0,False,26
IRN-USA,2020-01-03,Сулеймани и удар по Айн-эль-Асад,z_vol,1.0,26.0,True,26
IRN-USA,2020-01-03,Сулеймани и удар по Айн-эль-Асад,z_vol,2.0,25.0,False,26
IRN-USA,2020-01-03,Сулеймани и удар по Айн-эль-Асад,vol_ratio,1.5,26.0,True,26
IRN-USA,2020-01-03,Сулеймани и удар по Айн-эль-Асад,vol_ratio,2.5,,False,26
IRN-USA,2025-06-13,Двенадцатидневная война,z_tone,1.0,6.0,False,26
IRN-USA,2025-06-13,Двенадцатидневная война,z_tone,2.0,5.0,False,26
IRN-USA,2025-06-13,Двенадцатидневная война,z_vol,1.0,1.0,False,26
IRN-USA,2025-06-13,Двенадцатидневная война,z_vol,2.0,,False,26
IRN-USA,2025-06-13,Двенадцатидневная война,vol_ratio,1.5,,False,26
IRN-USA,2025-06-13,Двенадцатидневная война,vol_ratio,2.5,,False,26
IRN-USA,2026-02-28,Ирано-израильская война 2026,z_tone,1.0,,False,26
IRN-USA,2026-02-28,Ирано-израильская война 2026,z_tone,2.0,,False,26
IRN-USA,2026-02-28,Ирано-израильская война 2026,z_vol,1.0,25.0,False,26
IRN-USA,2026-02-28,Ирано-израильская война 2026,z_vol,2.0,,False,26
IRN-USA,2026-02-28,Ирано-израильская война 2026,vol_ratio,1.5,25.0,False,26
IRN-USA,2026-02-28,Ирано-израильская война 2026,vol_ratio,2.5,,False,26
KGZ-TJK,2021-04-28,"Киргизия — Таджикистан, апрель 2021",z_tone,1.0,3.0,False,20
KGZ-TJK,2021-04-28,"Киргизия — Таджикистан, апрель 2021",z_tone,2.0,2.0,False,20
KGZ-TJK,2021-04-28,"Киргизия — Таджикистан, апрель 2021",z_vol,1.0,20.0,True,20
KGZ-TJK,2021-04-28,"Киргизия — Таджикистан, апрель 2021",z_vol,2.0,20.0,True,20
KGZ-TJK,2021-04-28,"Киргизия — Таджикистан, апрель 2021",vol_ratio,1.5,20.0,True,20
KGZ-TJK,2021-04-28,"Киргизия — Таджикистан, апрель 2021",vol_ratio,2.5,14.0,False,20
KGZ-TJK,2022-09-14,"Киргизия — Таджикистан, сент. 2022",z_tone,1.0,19.0,False,20
KGZ-TJK,2022-09-14,"Киргизия — Таджикистан, сент. 2022",z_tone,2.0,9.0,False,20
KGZ-TJK,2022-09-14,"Киргизия — Таджикистан, сент. 2022",z_vol,1.0,,False,20
KGZ-TJK,2022-09-14,"Киргизия — Таджикистан, сент. 2022",z_vol,2.0,,False,20
KGZ-TJK,2022-09-14,"Киргизия — Таджикистан, сент. 2022",vol_ratio,1.5,,False,20
KGZ-TJK,2022-09-14,"Киргизия — Таджикистан, сент. 2022",vol_ratio,2.5,,False,20
KHM-THA,2025-05-28,Стычка у храма Та Муэн Тхом,z_tone,1.0,23.0,False,26
KHM-THA,2025-05-28,Стычка у храма Та Муэн Тхом,z_tone,2.0,23.0,False,26
KHM-THA,2025-05-28,Стычка у храма Та Муэн Тхом,z_vol,1.0,,False,26
KHM-THA,2025-05-28,Стычка у храма Та Муэн Тхом,z_vol,2.0,,False,26
KHM-THA,2025-05-28,Стычка у храма Та Муэн Тхом,vol_ratio,1.5,,False,26
KHM-THA,2025-05-28,Стычка у храма Та Муэн Тхом,vol_ratio,2.5,,False,26
KHM-THA,2025-12-07,"Возобновление боёв, декабрь 2025",z_tone,1.0,25.0,False,26
KHM-THA,2025-12-07,"Возобновление боёв, декабрь 2025",z_tone,2.0,16.0,False,26
KHM-THA,2025-12-07,"Возобновление боёв, декабрь 2025",z_vol,1.0,,False,26
KHM-THA,2025-12-07,"Возобновление боёв, декабрь 2025",z_vol,2.0,,False,26
KHM-THA,2025-12-07,"Возобновление боёв, декабрь 2025",vol_ratio,1.5,,False,26
KHM-THA,2025-12-07,"Возобновление боёв, декабрь 2025",vol_ratio,2.5,,False,26
RUS-TUR,2015-11-24,Сбитый Су-24,z_tone,1.0,3.0,False,26
RUS-TUR,2015-11-24,Сбитый Су-24,z_tone,2.0,,False,26
RUS-TUR,2015-11-24,Сбитый Су-24,z_vol,1.0,,False,26
RUS-TUR,2015-11-24,Сбитый Су-24,z_vol,2.0,,False,26
RUS-TUR,2015-11-24,Сбитый Су-24,vol_ratio,1.5,,False,26
RUS-TUR,2015-11-24,Сбитый Су-24,vol_ratio,2.5,,False,26
RUS-UKR,2014-02-27,Аннексия Крыма,z_tone,1.0,,False,26
RUS-UKR,2014-02-27,Аннексия Крыма,z_tone,2.0,,False,26
RUS-UKR,2014-02-27,Аннексия Крыма,z_vol,1.0,26.0,True,26
RUS-UKR,2014-02-27,Аннексия Крыма,z_vol,2.0,26.0,True,26
RUS-UKR,2014-02-27,Аннексия Крыма,vol_ratio,1.5,26.0,True,26
RUS-UKR,2014-02-27,Аннексия Крыма,vol_ratio,2.5,26.0,True,26
RUS-UKR,2022-02-24,Полномасштабное вторжение в Украину,z_tone,1.0,25.0,False,26
RUS-UKR,2022-02-24,Полномасштабное вторжение в Украину,z_tone,2.0,5.0,False,26
RUS-UKR,2022-02-24,Полномасштабное вторжение в Украину,z_vol,1.0,26.0,True,26
RUS-UKR,2022-02-24,Полномасштабное вторжение в Украину,z_vol,2.0,7.0,False,26
RUS-UKR,2022-02-24,Полномасштабное вторжение в Украину,vol_ratio,1.5,26.0,True,26
RUS-UKR,2022-02-24,Полномасштабное вторжение в Украину,vol_ratio,2.5,26.0,True,26
SYR-TUR,2020-02-27,Операция «Весенний щит»,z_tone,1.0,25.0,False,26
SYR-TUR,2020-02-27,Операция «Весенний щит»,z_tone,2.0,25.0,False,26
SYR-TUR,2020-02-27,Операция «Весенний щит»,z_vol,1.0,24.0,False,26
SYR-TUR,2020-02-27,Операция «Весенний щит»,z_vol,2.0,24.0,False,26
SYR-TUR,2020-02-27,Операция «Весенний щит»,vol_ratio,1.5,24.0,False,26
SYR-TUR,2020-02-27,Операция «Весенний щит»,vol_ratio,2.5,22.0,False,26
SYR-USA,2017-04-07,Удар по авиабазе Шайрат,z_tone,1.0,26.0,True,26
SYR-USA,2017-04-07,Удар по авиабазе Шайрат,z_tone,2.0,26.0,True,26
SYR-USA,2017-04-07,Удар по авиабазе Шайрат,z_vol,1.0,3.0,False,26
SYR-USA,2017-04-07,Удар по авиабазе Шайрат,z_vol,2.0,2.0,False,26
SYR-USA,2017-04-07,Удар по авиабазе Шайрат,vol_ratio,1.5,2.0,False,26
SYR-USA,2017-04-07,Удар по авиабазе Шайрат,vol_ratio,2.5,1.0,False,26
SYR-USA,2018-04-14,Удары по объектам ОМУ в Сирии,z_tone,1.0,3.0,False,26
SYR-USA,2018-04-14,Удары по объектам ОМУ в Сирии,z_tone,2.0,,False,26
SYR-USA,2018-04-14,Удары по объектам ОМУ в Сирии,z_vol,1.0,14.0,False,26
SYR-USA,2018-04-14,Удары по объектам ОМУ в Сирии,z_vol,2.0,13.0,False,26
SYR-USA,2018-04-14,Удары по объектам ОМУ в Сирии,vol_ratio,1.5,12.0,False,26
SYR-USA,2018-04-14,Удары по объектам ОМУ в Сирии,vol_ratio,2.5,9.0,False,26
USA-VEN,2026-01-03,Операция США против Мадуро,z_tone,1.0,17.0,False,26
USA-VEN,2026-01-03,Операция США против Мадуро,z_tone,2.0,13.0,False,26
USA-VEN,2026-01-03,Операция США против Мадуро,z_vol,1.0,26.0,True,26
USA-VEN,2026-01-03,Операция США против Мадуро,z_vol,2.0,,False,26
USA-VEN,2026-01-03,Операция США против Мадуро,vol_ratio,1.5,17.0,False,26
USA-VEN,2026-01-03,Операция США против Мадуро,vol_ratio,2.5,,False,26
